Name,Year of release,Aired Date,Aired On,Number of Episode,Network,Duration,Content Rating,Synopsis,Cast,Genre,Tags,Rank,Rating
Racket Boys,2021,"May 31, 2021 - Aug  9, 2021"," Monday, Tuesday",16,"Netflix,  SBS ",1 hr. 15 min.,15+ - Teens 15 or older ,"A story of a boys' badminton team at a middle school in Haenam as they grow, both as people and as players.","Kim Sang Kyung, Oh Na Ra, Tang Jun Sang, Son Sang Yeon, Choi Hyun Wook, Kim Kang Hoon","Friendship,  Comedy,  Youth,  Sports ","Coliving, Boarding House, Charismatic Female Lead, Legend, Rural Life, Working Mom, Athlete, Tough Female Lead, Tough Male Lead, Badminton",#35,8.8
Youth of May,2021,"May  3, 2021 - Jun  8, 2021"," Monday, Tuesday",12,KBS2 ,1 hr. 10 min.,15+ - Teens 15 or older ,"Hee Tae becomes the pride of Gwangju when he enters Seoul National University College of Medicine with top marks. His best friend Kyung Soo, an avid pro-democracy activist, insists that they open an illegal clinic for students on the run from the government. One day, a factory worker is injured during a protest. In exchange for the costs of discreetly transporting himself and the factory worker to his hometown, Hee Tae must go to a meeting with a potential marriage partner arranged by his father. At this meeting, Hee Tae meets Myung Hee, a nurse persevering through the hardships of life. She only agrees to go to this meeting in place of her friend Soo Ryeon, because she needs to come up with the airfare to go study in Germany. However, Myung Hee and Hee Tae end up falling in love. In May of 1980, amidst the heated passion and cries for democracy that reverberated throughout Gwangju, Hee Tae and Myung Hee find themselves in a twist of fate.","Lee Do Hyun, Go Min Si, Lee Sang Yi, Geum Sae Rok, Oh Man Suk, Uhm Hyo Sub","Historical,  Romance,  Drama,  Melodrama ","1980s, Nurse, Rich Man/Poor Woman, Gwangju Uprising, Medical Student, Strong Female Lead, Smart Female Lead, Forbidden Love, Star Crossed Lovers, Tearjerker",#36,8.8
Mouse,2021,"Mar  3, 2021 - May 19, 2021"," Wednesday, Thursday",20,tvN ,1 hr. 15 min.,18+ Restricted (violence & profanity) ,"A suspenseful story that asks the key question, “What if we could identify psychopaths in advance?” A crazed serial killer’s ruthless murders have left the entire nation gripped with fear, and chaos reigns. Justice-seeking rookie police officer, Jung Ba Reum, comes face to face with the killer. While he survives his dangerous encounter with the psychopath, Jung Ba Reum finds his life completely changing before his eyes.","Lee Seung Gi, Lee Hee Joon, Park Joo Hyun, Kyung Soo Jin, Woo Ji Hyun, Ahn Jae Wook","Thriller,  Mystery,  Sci-Fi ","Psychopath, Murder, Serial Killer, Investigation, Character Development, Detective, Neurosurgeon, Extreme Violence, Child Sexual Abuse, Flashback To Past",#37,8.7
Sweet Home,2020,"Dec 18, 2020", Friday,10,Netflix ,52 min.,18+ Restricted (violence & profanity) ,"Following the death of his family in an accident, loner Cha Hyun Soo moves to a new apartment. His quiet life is soon disturbed by strange incidents that start occurring in his apartment, and throughout Korea. As people start to turn into monsters, Hyun Soo and the other residents try to survive.","Song Kang, Lee Jin Wook, Lee Si Young, Lee Do Hyun, Kim Nam Hee, Go Min Si","Horror,  Drama,  Sci-Fi,  Supernatural ","Monsters, Gore, Survival, Character Development, Adapted From A Webtoon, Supernatural Phenomena, Multiple Mains, Trauma, School Bullying, Attempted Suicide",#38,8.7
18 Again,2020,"Sep 21, 2020 - Nov 10, 2020"," Monday, Tuesday",16,jTBC ,1 hr. 10 min.,15+ - Teens 15 or older ,"After nearly twenty years of marriage, Jung Da Jung and Hong Dae Young seem to be well settled in their domestic lives. The proud parents of a pair of eighteen year old twins, the devoted couple have worked hard to build a happy home together. But what seems like an ideal life on the outside is really anything but. Fed up with Dae Young’s incessant nonsense, Da Jung is at her wits’ end. When Dae Young announces that he’s been fired, Da Jung gives up completely. Convinced life would be better without her husband in it, Da Jung wastes no time in filing for divorce.","Kim Ha Neul, Yoon Sang Hyun, Lee Do Hyun, Roh Jeong Eui, Ryeoun, Wi Ha Joon","Romance,  Life,  Drama,  Fantasy ","Second Chance, Personal Growth, First Love, Return To Past, Father-Son Relationship, Divorce, Remake, Married Couple, Hardworking Female Lead, Father-Daughter Relationship",#39,8.7
Chicago Typewriter,2017,"Apr  7, 2017 - Jun  3, 2017"," Friday, Saturday",16,tvN ,1 hr. 10 min.,15+ - Teens 15 or older ,This drama follows the lives of two men and a woman through two eras: one during the 1930s Japanese occupation of Korea and the other in the 21st century. The three main characters are,"Yoo Ah In, Im Soo Jung, Go Kyung Pyo, Kwak Shi Yang, Jo  Woo Jin, Oh Na Ra","Comedy,  Romance,  Supernatural,  Political ","Reincarnation, Strong Friendship, Writer, Hardworking Male Lead, Hardworking Female Lead, Strong Female Lead, Successful Male Lead, Bromance, Flashback To Past, Tragic Past",#40,8.7
Defendant,2017,"Jan 23, 2017 - Mar 21, 2017"," Monday, Tuesday",18,SBS ,1 hr. 10 min.,15+ - Teens 15 or older ,"Park Jung Woo is a prosecutor at Seoul Central District Prosecutors’ Office. One day, he wakes up and finds himself a convict on death row. Suffering from temporary amnesia, Jung Woo has no idea what transpired to land him in prison. He struggles to recover his memory and clear his name before his time is up.  Edit Translation  English Русский Português Tiếng Việt","Ji Sung, Uhm Ki Joon, Kwon Yu Ri, Oh Chang Seok, Uhm Hyun Kyung, Jung Dong Gyu","Thriller,  Mystery,  Law,  Drama ","Prison, Murder, Amnesia, Wrongfully Accused, Identity Swap, Bromance, Prisoner, Identical Twins, Suspense, Good Twin/Evil Twin",#41,8.7
While You Were Sleeping,2017,"Sep 27, 2017 - Nov 16, 2017"," Wednesday, Thursday",32,SBS ,30 min.,15+ - Teens 15 or older ,A young woman with bad premonition dreams meets two people who suddenly develop the same ability.,"Bae Suzy, Lee Jong Suk, Jung Hae In, Lee Sang Yeob, Hwang Young Hee, Shin Jae Ha","Mystery,  Romance,  Drama,  Fantasy ","Precognition, Nice Male Lead, Neighbors, Murder, Tragic Past, Childhood Acquaintance, Smart Male Lead, Steamy Kiss, Strong Female Lead, Healing",#42,8.7
Dear My Friends,2016,"May 13, 2016 - Jul  2, 2016"," Friday, Saturday",16,tvN ,1 hr. 10 min.,15+ - Teens 15 or older ,"Park Wan is a translator who is constantly pulled by her mother, Jang Nan Hee, to hang out with her elder friends, Jo Hee Ja, Moon Jung Ah, Oh Choong Nam, and Lee Yeong Won. The plot revolves around the friends' twilight years as they are rediscovering themselves through relationships and family, the struggles they face due to their old age, and their life journey that they share with  Park Wan in the hope she would write a novel about them.","Go Hyun Jung, Kim Hye Ja, Na Moon Hee, Go Doo Shim, Park Won Sook, Youn Yuh Jung","Life,  Drama,  Family,  Melodrama ","Best Friends, Life Lesson, Female Centered Plot, Senior Citizen, Mother-Son Relationship, Mother-Daughter Relationship, Multiple Couples, Single Mother, Sismance, Family Conflict",#43,8.7
Dr. Romantic 2,2020,"Jan  6, 2020 - Feb 25, 2020"," Monday, Tuesday",16,SBS ,1 hr. 10 min.,15+ - Teens 15 or older ,"A “real doctor” story set in a small, humble hospital called Doldam Hospital. It is a story about people who meet Kim Sa Bu, a genius doctor, and discover “real romance.”","Han Seok Kyu, Ahn Hyo Seop, Lee Sung Kyung, Kim Joo Heon, Shin Dong Wook, So Ju Yeon","Romance,  Drama,  Medical,  Melodrama ","Hospital, Smart Male Lead, Character Development, Bickering Couple, Love/Hate Relationship, Smart Female Lead, Hardworking Female Lead, Nurse, Healing, Nervous Female Lead",#44,8.7
"Kill Me, Heal Me",2015,"Jan  7, 2015 - Mar 12, 2015"," Wednesday, Thursday",20,MBC ,1 hr. 2 min.,15+ - Teens 15 or older ,"A traumatic childhood experience leaves Cha Do Hyeon, suffering from memory loss and dissociation. The latter has resulted in the creation of seven distinct personalities. Wanting to regain control over his life, he asks Oh Ri Jin, a first-year psychiatric resident, to help him, but she eventually falls in love with one of his personalities. Ri Jin’s twin brother, Oh Ri On, a famous mystery novelist, investigates Do Hyeon and his family. (Source: MyDramaList) Edit Translation  English Русский Türkçe Português","Ji Sung, Hwang Jung Eum, Park Seo Joon, Kim Yoo Ri, Oh Min Suk, Kim Young Ae","Psychological,  Comedy,  Romance,  Drama ","Dissociative Identity Disorder, Trauma, Boss-Employee Relationship, Rich Male Lead, Mental Health, PTSD, Psychiatry, Nice Male Lead, Mean Male Lead, Rich Man/Poor Woman",#45,8.7
Arthdal Chronicles Part 2,2019,"Jun 22, 2019 - Jul  7, 2019"," Saturday, Sunday",6,"Netflix,  tvN ",1 hr. 21 min.,15+ - Teens 15 or older ,"Ta Gon has now become the most powerful man in Arthdal. He has an affectionate relationship only with Taealha, the daughter of the rival Hae Tribe, because of their shared ambitions.","Song Joong Ki, Kim Ji Won, Jang Dong Gun, Kim Ok Bin, Jo Sung Ha, Park Hae Joon","Historical,  Romance,  Fantasy,  Political ","Twins, War, Power Struggle, Revenge, Slavery, Good Twin/Evil Twin, Strong Female Lead, Character Development, Father-Daughter Relationship, Sibling",#46,8.7
Misaeng,2014,"Oct 17, 2014 - Dec 20, 2014"," Friday, Saturday",20,tvN ,1 hr. 20 min.,15+ - Teens 15 or older ,"Jang Geu Rae has played the game of Go since he was a child. When his plans of becoming a professional Go player fail, the down-and-out Geu Rae is forced to take an office job as an intern set up for him by an acquaintance’s recommendation for him to a large company called One International.","Im Si Wan, Lee Sung Min, Kang So Ra, Kang Ha Neul, Byun Yo Han, Kim Dae Myung","Friendship,  Business,  Life,  Drama ","Office Worker, Workplace Abuse, Teamwork, Adapted From A Webtoon, Hardworking Male Lead, Workplace, Smart Female Lead, Strong Female Lead, Nice Male Lead, Hardworking Female Lead",#47,8.7
Arthdal Chronicles Part 3,2019,"Sep  7, 2019 - Sep 22, 2019"," Saturday, Sunday",6,"Netflix,  tvN ",1 hr. 20 min.,15+ - Teens 15 or older ,"Following Part I & II, Ta Gon has gotten what he wants as he sits atop his throne. However, now his life and throne are threatened when Eun Seom begins to gather power among the slaves and peasants of Arth as he starts to fight back against the elite. Although Ta Gon has so far kept his half-Neanthal heritage a secret from the world, his eyes shine purple, preparing to go all out in fighting Eun Seom.","Song Joong Ki, Kim Ji Won, Jang Dong Gun, Kim Ok Bin, Kim Sung Chul, Karata Erika","Historical,  Romance,  Fantasy,  Political ","Power Struggle, War, Supernatural Power, Strong Female Lead, Identical Twins, Curse, Revenge, Superhuman Strength, Pre-produced, Sibling",#48,8.7
My Name,2021,"Oct 15, 2021", Friday,8,Netflix ,50 min.,18+ Restricted (violence & profanity) ,"Following her father's murder, a revenge-driven woman puts her trust in a powerful crime boss — and enters the police force under his direction.","Han So Hee, Park Hee Soon , Ahn Bo Hyun, Lee Hak Joo, Kim  Sang Ho, Jang Yool","Action,  Thriller,  Crime ","Revenge, Undercover Agent, Strong Female Lead, Double Identity, Crime Boss, Gang, Noir, Strong Male Lead, Drugs, Death",#49,8.7
Hotel del Luna,2019,"Jul 13, 2019 - Sep  1, 2019"," Saturday, Sunday",16,tvN ,1 hr. 20 min.,15+ - Teens 15 or older ,"Nestled deep in the heart of Seoul’s thriving downtown sits a curious hotel, the like of which no one has ever seen before. Old beyond measure, the building has stood for millennia, an ever-present testament to the fact that things are not always what they seem. Running this hotel is Jang Man Wol, a greedy, suspicious soul who has spent the past thousand years acting as the establishment’s CEO. Bound to the hotel by a deity who keeps her there to save her from going berserk and self-destruction with rage, hatred and thirst for revenge. Her only hope of escape is if she could let go of her resentment and hatred, and find love. Trapped in her resentment for a betrayal, Man Wol is doomed to spend all of the eternity running this odd establishment, catering to the needs of the most peculiar clientele. ","IU, Yeo Jin Goo, Shin Jung Keun, Bae Hae Seon, P.O, Jo Hyun Chul","Horror,  Comedy,  Romance,  Fantasy ","Boss-Employee Relationship, Immortal, Strong Female Lead, Ghost, Ghost-seeing Male Lead, Supernatural, Hotel, Rich Female Lead, Nice Male Lead, Strong Friendship",#50,8.7
Dr. Romantic,2016,"Nov  7, 2016 - Jan 16, 2017"," Monday, Tuesday",20,SBS ,60 min.,15+ - Teens 15 or older ,"Kim Sa Bu was once a famous surgeon at the peak of his career at a major hospital. But he suddenly gives it all up one day to live in seclusion and work as a neighborhood doctor in a small town. He now goes by “Teacher Kim” and refers to himself as the “Romantic Doctor”. Meanwhile, Kang Dong Joo became a doctor to make something of himself after growing up poor, and he seeks out VIP patients to achieve the success that he desperately wants. Yoon Seo Jung is a passionate young surgeon who is haunted by a mistake from her past and tries to get over it. When Dong Joo and Seo Jung meet the quirky Teacher Kim, their lives and careers will never be the same again. Edit Translation  English Español Français Italiano","Han Seok Kyu, Yoo Yeon Seok, Seo Hyun Jin, Choi Jin Ho, Yang Se Jong, Jang Hyuk Jin","Romance,  Drama,  Medical ","Surgeon, Strong Male Lead, Smart Male Lead, Strong Female Characters, Hardworking Female Lead, Hardworking Male Lead, Character Development, Smart Female Lead, Boss-Employee Relationship, Slow Burn Romance",#51,8.7
The Fiery Priest,2019,"Feb 15, 2019 - Apr 20, 2019"," Friday, Saturday",40,SBS ,35 min.,15+ - Teens 15 or older ,Kim Hae Il is a Catholic priest. He makes spiteful remarks and he can be rude to others. Koo Dae Young is a detective. He talks a lot and he is also timid. Park Kyung Sun is a prosecutor. She is smart and beautiful. She is also ambitious as a prosecutor and good at her job.,"Kim Nam Gil, Kim Sung Kyun, Lee Ha Nee, Go Jun, Geum Sae Rok, Jeon Sung Woo","Action,  Mystery,  Comedy,  Crime ","Badass Male Lead, Priest, Eccentric Male Lead, Sassy Female Lead, Bromance, Aggressive Male Lead, Church, Strong Friendship, PTSD, Sismance",#52,8.7
Moon Lovers,2016,"Aug 29, 2016 - Nov  1, 2016"," Monday, Tuesday",20,SBS ,60 min.,15+ - Teens 15 or older ,"When a total eclipse of the sun takes place, Go Ha Jin is transported back in time to the start of the Goryeo Dynasty of Korea during King Taejo's rule. She wakes up in the body of the 16-year-old Hae Soo and finds herself living in the house of the 8th Prince Wang Wook, who is married to Hae Soo's cousin. She soon befriends several of the princes and meets the ostracized 4th Prince, Wang So. Although knowing she should not get involved in palace intrigues over the succession to the throne, she inadvertently becomes a pawn in the struggle, as several of the Princes fall in love with her. ","Lee Joon Gi, IU, Kang Ha Neul, Hong Jong Hyun, Nam Joo Hyuk, Byun Baek Hyun","Historical,  Romance,  Melodrama ","Goryeo Dynasty, Power Struggle, Sibling Rivalry, Tearjerker, Adapted From A Novel, Time Travel, Death, Gwangjong, Reverse-Harem, Obsession",#53,8.7
Descendants of the Sun,2016,"Feb 24, 2016 - Apr 14, 2016"," Wednesday, Thursday",16,KBS2 ,60 min.,15+ - Teens 15 or older ,A love story that develops between a surgeon and a special forces officer.,"Song Joong Ki, Song Hye Kyo, Jin Goo, Kim Ji Won, Lee Seung Jun, Seo Jung Yeon","Action,  Comedy,  Romance,  Melodrama ","Soldier, Hardworking Female Lead, Multiple Couples, Bromance, Hardworking Male Lead, Charming Male Lead, Gun Violence, Filmed Abroad, Friendship, Strong Friendship",#54,8.7
Hot Stove League,2019,"Dec 13, 2019 - Feb 14, 2020"," Friday, Saturday",16,SBS ,1 hr. 2 min.,15+ - Teens 15 or older ,"About the preparation period of a major league baseball team. The drama focuses on a loser team that prepares for an extraordinary season upon the arrival of their new general manager, and each episode will focus on a problem they have as they prepare to become a stronger team.","Namkoong Min, Park Eun Bin, Cho Byeong Kyu, Oh Jung Se, Son Jong Hak, Kim Do Hyun","Drama,  Sports,  Melodrama ","Hardworking Female Lead, Baseball, Hardworking Male Lead, Workplace, Teamwork, General Manager, Corruption, Successful Male Lead, Tough Male Lead, Calm Male Lead",#55,8.7
Strong Woman Do Bong Soon,2017,"Feb 24, 2017 - Apr 15, 2017"," Friday, Saturday",16,jTBC ,1 hr. 7 min.,15+ - Teens 15 or older ,"Do Bong Soon is a petite, unemployed woman who is honest and kind. She appears little and sweet on the outside, but she is in fact very, very strong. For generations in her family, the women have been gifted Herculean strength to use for the greater good. If abused, however, their power will be taken away.","Park Bo Young, Park Hyung Sik, Kim Ji Soo, Jun Suk Ho, Shim Hye Jin, Yoo Jae Myung","Action,  Thriller,  Comedy,  Romance,  Drama,  Supernatural ","Strong Female Lead, Female Lead Action Scenes, Love Triangle, Superhuman Strength, Strong Female Characters, Game Developer, Gangster, Nice Male Lead, Bodyguard, Workplace",#56,8.7
Law School,2021,"Apr 14, 2021 - Jun  9, 2021"," Wednesday, Thursday",16,"jTBC,  Netflix ",1 hr. 5 min.,15+ - Teens 15 or older ,"When a grim incident occurs at their prestigious school, justice through law is put to the test by a tough law professor and his ambitious students.","Kim Myung Min, Kim Bum, Ryu Hye Young, Lee Jung Eun, Lee Soo Kyung, Lee David","Mystery,  Law,  Crime,  Drama ","Smart Male Lead, School, Student, University, Death, Hardworking Female Lead, Rich Male Lead, Law Student, Campus Life, Nice Male Lead",#57,8.7
Live,2018,"Mar 10, 2018 - May  6, 2018"," Saturday, Sunday",18,"Netflix,  tvN ",1 hr. 15 min.,15+ - Teens 15 or older ,"The drama revolves around the incidents that occur in the police force and the joy, sorrow, and pain that police officers experience as they try to protect justice.","Lee Kwang Soo, Jung Yu Mi, Bae Sung Woo, Bae Jong Ok, Sung Dong Il, Jang Hyun Sung","Friendship,  Comedy,  Romance,  Crime ","Teamwork, Violence, Strong Friendship, Slice Of Life, Policewoman, Strong Female Lead, Smart Female Lead, Male Chases Female First, Rape, Nice Male Lead",#58,8.7
Tunnel,2017,"Mar 25, 2017 - May 21, 2017"," Saturday, Sunday",16,OCN ,60 min.,15+ - Teens 15 or older ,"In 1986, Park Gwang Ho works as an excellent and enthusiastic detective. His life changes when he’s pursuing leads in a serial homicide case and then passes through a time portal, which transports him to present day Seoul.  He meets a new partner Kim Sun Jae, an elite detective who happens to be a bit eccentric, but is one highly skilled investigator. The detective duo will also find help in psychology professor, Shin Jae Yi.","Choi Jin Hyuk, Yoon Hyun Min, Lee Yoo Young, Jo Hee Bong, Kim Byung Chul, Kang Ki Young","Thriller,  Mystery,  Sci-Fi,  Fantasy ","Time Travel, Murder, Criminal Profiler, Serial Killer, Bromance, Hardworking Male Lead, Hidden Identity, Strong Female Lead, Character Development, Slight Romance",#59,8.7
Strangers from Hell,2019,"Aug 31, 2019 - Oct  6, 2019"," Saturday, Sunday",10,OCN ,60 min.,15+ - Teens 15 or older ,"Yoon Jong Woo is a young guy in his 20s who moves from the countryside to Seoul after his college friend, Jae Ho, offers him a job. While looking for a place to live, he stumbles upon Eden Gosiwon, a cheap hostel that shares the kitchen and bathroom with other residents. He is not thrilled about the quality of the place or the other abnormal residents, such as his next-door neighbor Seo Moon Jo, a charismatic dentist. Nevertheless, Jong Woo decides to put up with it for 6 months until he saves enough money to move out. However, mysterious events start occurring in the apartment, causing Jong Woo to begin fearing the apartment's residents.","Im Si Wan, Lee Dong Wook, Lee Jung Eun, Ahn Eun Jin, Park Jong Hwan, Lee Joong Ok","Thriller,  Horror,  Psychological,  Drama ","Adapted From A Webtoon, Murder, PTSD, Gaslighting, Mental Illness, Mental Torment, Hostel, Trauma, Torture, Psychopath",#60,8.7
"It's Okay, That's Love",2014,"Jul 23, 2014 - Sep 11, 2014"," Wednesday, Thursday",16,SBS ,60 min.,15+ - Teens 15 or older ,"Despite being a bit of a prickly pear, Jang Jae Yeol has become famous for authoring mystery novels and for hosting a popular radio show. While sitting on a talk show panel with psychiatrist Ji Hae Soo, it became clear to all that the two just rubbed each other the wrong way. ","Jo In Sung, Gong Hyo Jin, Sung Dong Il, Lee Kwang Soo, Jin Kyung, Lee Sung Kyung","Psychological,  Comedy,  Romance,  Drama ","Strong Female Lead, Psychiatry, Mental Health, Trauma, Charming Male Lead, Healing, Adult Romance, Melodrama, Cohabitation, Housemates",#61,8.6
Eulachacha Waikiki,2018,"Feb  5, 2018 - Apr 17, 2018"," Monday, Tuesday",20,jTBC ,1 hr. 5 min.,15+ - Teens 15 or older ,"Three very different young men – Dong Goo, the bad luck incarnate who dreams of becoming a film director, Joon Ki, an eccentric actor who performs to make a living, and Doo Shik, a freelancer writer who fiddles around doing nothing most of the time - open a guest house named “Waikiki” in Itaewon where many foreigners come to stay.  Although they have no clue how to run it, they’re eager to earn money to pay for the production of their upcoming film.","Kim Jung Hyun, Lee Yi Kyung, Son Seung Won, Jung In Sun, Go Won Hee, Lee Joo Woo","Comedy,  Life,  Youth,  Drama ","Housemates, Bromance, Friends To Lovers, Motherhood, Cohabitation, Babysitting, Single Mother, Actor, Childhood Friends, Secondary Couple",#62,8.6
The Bridal Mask,2012,"May 30, 2012 - Sep  6, 2012"," Wednesday, Thursday",28,KBS2 ,1 hr. 5 min.,15+ - Teens 15 or older ,"Lee Kang To is an ambitious and callous Korean officer employed by the Japanese colonists. Despite his mother's disapproval of his work and his own brother's antagonistic history with the Japanese, Kang To continues to play by the colonist's rules in hopes of becoming successful and bringing his family out of poverty. However, a mysterious figure wearing a traditional Bridal Mask always seems to get in Kang To's way. The Bridal Mask appears as a Zorro-like figure who protects the people from the Japanese colonists' oppression and abuse of power. An unexpected turn of events brings Kang To to cross paths with the mysterious Bridal Mask, changing his future and the nation's history forever. ","Joo Won, Jin Se Yeon, Park Ki Woong, Han Chae Ah, Shin Hyun Joon, Chun Ho Jin","Action,  Historical,  Romance,  Political ","Japanese Colonial Rule, Hidden Identity, Revenge, Rebellion, Murder, Love Triangle, Adapted From A Manhwa, Investigation, Drama, Sword-fight",#63,8.6
Partners for Justice 2,2019,"Jun  3, 2019 - Jul 29, 2019"," Monday, Tuesday",32,MBC ,35 min.,15+ - Teens 15 or older ,"In crime and in life, all contact leaves a trace. There is no perfect crime and our hero and heroine have the ultimate cooperation. This drama continues the tale of a forensic scientist and a prosecutor who make the best of teams.","Jung Jae Young, Jung Yoo Mi, Oh Man Suk, Noh Min Woo, Kang Seung Hyun, Park Jun Gyu","Mystery,  Law,  Drama,  Medical ","Forensic Science, Prosecutor Female Lead, Doctor Male Lead, Rich Female Lead, Death, Murder, Investigation",#64,8.6
Jewel in the Palace,2003,"Sep 15, 2003 - Mar 23, 2004"," Monday, Tuesday",54,MBC ,1 hr. 5 min.,13+ - Teens 13 or older ,"About 500 years ago during the time of Chosun Dynasty, Korea boasted a rigidly hierarchical and male dominated social structure. Based on a true story about a legendary girl, Jang Geum, who became the first woman to be the supreme royal physician of her times. Despite her poor condition as a low class girl in the male dominated society, Jang Geum overcame a series of social discrimination and landed herself as a royal cook, later becoming the royal physician, then ultimately the physician in charge of the king. She was even given by the king the title ""The Great Jang Geum."" The story of her checkered life on her success and breakdown as well as her love story beautifully unfold.","Lee Young Ae, Ji Jin Hee, Hong Ri Na, Im Ho, Yang  Mi Kyung, Kyeon Mi Ri","Food,  Historical,  Romance,  Medical ","Cooking, Strong Female Lead, Royal Rules And Etiquette, Joseon Dynasty, Royal Cook, Doctor Female Lead, Faithful Male Lead, Smart Female Lead, Melodrama, Drama",#65,8.6
My Father is Strange,2017,"Mar  4, 2017 - Aug 27, 2017"," Saturday, Sunday",52,KBS2 ,1 hr. 6 min.,15+ - Teens 15 or older ,"This drama is about a family that lives on the outskirts of Seoul. Byun Han Soo is the father and His wife, Na Yeong Shil is a dedicated, responsible mother to his three daughters and one son including Hye Yeong, Mi Yeong, Ra Yeong, and Joon Young. Suddenly one day, Ahn Joong Hee shows up at the household and declares that he is the son of the family. Joong Hee is an actor who used to be a member of an idol group. He begins to live with them.","Kim Yeong Cheol, Kim Hae Sook, Ryu Soo Young, Lee Yoo Ri, Lee Joon, Jung So Min","Comedy,  Romance,  Drama,  Family ","Family Secret, Sisterhood, Eccentric Female Lead, Fake Incest, Multiple Couples, Strong Female Lead, Father-Daughter Relationship, Mother-Daughter Relationship, Mother-Son Relationship, Father-Son Relationship",#66,8.6
Children of Nobody,2018,"Nov 21, 2018 - Jan 16, 2019"," Wednesday, Thursday",32,MBC ,30 min.,15+ - Teens 15 or older ,"Cha Woo Kyung is a child counselor who works at a children’s center. Her life seems perfect since she is married to a great husband and is pregnant. However, her perfect life doesn't last long, when an accident changes her life. She then meets Kang Ji Hun, a detective who is strict toward criminals and believes they should be punished to the full extent.","Kim Sun Ah, Lee Yi Kyung, Nam Gyu Ri, N, Joo Seok Tae, Na Young Hee","Thriller,  Mystery,  Psychological,  Crime,  Drama ","Trauma, Child Abuse, Smart Female Lead, Child Behavior Issues, Abuse, Murder, Tragic Past, Psychiatry, Child Abandonment, Domestic Violence",#67,8.6
Go Back Couple,2017,"Oct 13, 2017 - Nov 18, 2017"," Friday, Saturday",12,KBS2 ,1 hr. 10 min.,15+ - Teens 15 or older ,"38-years-old married couple, Choi Ban Do and Ma Jin Joo, were in love when they got married but now, hate each other and regret marrying at such a young age. Choi Ban Do has been burdened with being the breadwinner, and Ma Jin Joo is a housewife with low self-esteem. The couple travels through time and finds themselves as 20-year-old university students when they met for the first time.","Jang Na Ra, Son Ho Jun, Heo Jung Min, Han Bo Reum, Jang Ki Yong, Go Bo Gyeol","Comedy,  Romance,  Life,  School,  Drama,  Family,  Supernatural ","Time Travel, Love/Hate Relationship, Marriage, Mother-Daughter Relationship, Misunderstanding, 1990s, Failing Marriage, Married Couple, Sassy Female Lead, Sismance",#68,8.6
